date,close
2022-05-11,94.2
2022-05-12,92.49
2022-05-13,92.32
2022-05-16,93.27
2022-05-17,92.04
2022-05-18,93.52
2022-05-19,94.04
2022-05-20,93.9
2022-05-23,94.2
2022-05-24,94.82
2022-05-25,94.93
2022-05-26,96.02
2022-05-27,95.38
2022-05-30,94.99
2022-05-31,95.98
2022-06-01,96.0
2022-06-02,95.16
2022-06-03,96.06
2022-06-06,97.47
2022-06-07,97.03
2022-06-08,95.69
2022-06-09,95.56
2022-06-10,95.42
2022-06-13,95.14
2022-06-14,96.47
2022-06-15,95.48
2022-06-16,96.69
2022-06-17,95.46
2022-06-20,94.71
2022-06-21,95.31
2022-06-22,96.38
2022-06-23,97.21
2022-06-24,97.55
2022-06-27,97.69
2022-06-28,97.83
2022-06-29,98.4
2022-06-30,98.22
2022-07-01,98.5
2022-07-04,99.06
2022-07-05,99.06
2022-07-06,99.82
2022-07-07,100.38
2022-07-08,102.4
2022-07-11,102.73
2022-07-12,102.3
2022-07-13,101.91
2022-07-14,101.9
2022-07-15,102.84
2022-07-18,102.5
2022-07-19,102.89
2022-07-20,104.78
2022-07-21,102.09
2022-07-22,100.95
2022-07-25,101.19
2022-07-26,101.6
2022-07-27,101.84
2022-07-28,101.4
2022-07-29,102.06
2022-08-01,102.35
2022-08-02,101.82
2022-08-03,104.29
2022-08-04,104.66
2022-08-05,104.08
2022-08-08,103.98
2022-08-09,103.74
2022-08-10,103.68
2022-08-11,100.85
2022-08-12,100.36
2022-08-15,101.37
2022-08-16,100.19
2022-08-17,100.12
2022-08-18,101.08
2022-08-19,101.94
2022-08-22,103.46
2022-08-23,101.7
2022-08-24,101.34
2022-08-25,101.0
2022-08-26,101.62
2022-08-29,102.73
2022-08-30,99.98
2022-08-31,101.07
2022-09-01,99.6
2022-09-02,100.28
2022-09-05,98.79
2022-09-06,98.96
2022-09-07,100.14
2022-09-08,99.99
2022-09-09,100.19
2022-09-12,100.98
2022-09-13,101.13
2022-09-14,101.04
2022-09-15,102.59
2022-09-16,103.66
2022-09-19,103.36
2022-09-20,106.19
2022-09-21,104.98
2022-09-22,105.94
2022-09-23,105.66
2022-09-26,105.8
2022-09-27,106.54
2022-09-28,106.78
2022-09-29,107.46
2022-09-30,105.82
2022-10-03,104.22
2022-10-04,104.86
2022-10-05,103.85
2022-10-06,102.79
2022-10-07,101.27
2022-10-10,102.56
2022-10-11,103.32
2022-10-12,104.85
2022-10-13,103.86
2022-10-14,103.86
2022-10-17,102.68
2022-10-18,103.47
2022-10-19,105.11
2022-10-20,104.17
2022-10-21,105.8
2022-10-24,106.84
2022-10-25,106.65
2022-10-26,104.55
2022-10-27,106.02
2022-10-28,105.92
2022-10-31,105.28
2022-11-01,105.7
2022-11-02,106.14
2022-11-03,107.73
2022-11-04,106.63
2022-11-07,107.84
2022-11-08,109.44
2022-11-09,111.03
2022-11-10,110.83
2022-11-11,110.01
2022-11-14,111.13
2022-11-15,111.25
2022-11-16,111.39
2022-11-17,112.98
2022-11-18,112.68
2022-11-21,110.09
2022-11-22,109.67
2022-11-23,107.63
2022-11-24,108.52
2022-11-25,108.86
2022-11-28,108.19
2022-11-29,108.18
2022-11-30,109.08
2022-12-01,109.17
2022-12-02,110.62
2022-12-05,110.55
2022-12-06,111.7
2022-12-07,113.37
2022-12-08,115.19
2022-12-09,114.42
2022-12-12,115.43
2022-12-13,113.26
2022-12-14,112.03
2022-12-15,109.83
2022-12-16,111.01
2022-12-19,109.64
2022-12-20,109.63
2022-12-21,109.42
2022-12-22,109.38
2022-12-23,108.74
2022-12-26,108.99
2022-12-27,110.94
2022-12-28,110.99
2022-12-29,111.58
2022-12-30,112.7
2023-01-02,112.48
2023-01-03,111.06
2023-01-04,110.44
2023-01-05,111.63
2023-01-06,109.79
2023-01-09,109.13
2023-01-10,110.23
2023-01-11,111.11
2023-01-12,111.12
2023-01-13,112.01
2023-01-16,112.2
2023-01-17,110.87
2023-01-18,109.14
2023-01-19,108.44
2023-01-20,109.44
2023-01-23,108.82
2023-01-24,107.84
2023-01-25,107.01
2023-01-26,105.37
2023-01-27,105.25
2023-01-30,104.01
2023-01-31,104.38
2023-02-01,101.92
2023-02-02,102.26
2023-02-03,101.6
2023-02-06,99.63
2023-02-07,100.35
2023-02-08,100.07
2023-02-09,97.84
2023-02-10,96.98
2023-02-13,97.27
2023-02-14,96.82
2023-02-15,97.58
2023-02-16,98.3
2023-02-17,98.96
2023-02-20,99.28
2023-02-21,100.61
2023-02-22,101.27
2023-02-23,101.73
2023-02-24,99.61
2023-02-27,100.5
2023-02-28,101.82
2023-03-01,101.51
2023-03-02,101.04
2023-03-03,103.0
2023-03-06,101.19
2023-03-07,101.66
2023-03-08,104.13
2023-03-09,103.16
2023-03-10,103.87
2023-03-13,105.83
2023-03-14,105.7
2023-03-15,106.3
2023-03-16,107.26
2023-03-17,106.28
2023-03-20,106.19
2023-03-21,106.5
2023-03-22,107.38
2023-03-23,107.34
2023-03-24,107.13
2023-03-27,106.04
2023-03-28,105.66
2023-03-29,106.61
2023-03-30,106.71
2023-03-31,105.8
2023-04-03,104.91
2023-04-04,107.71
2023-04-05,108.94
2023-04-06,109.63
2023-04-07,106.79
2023-04-10,107.45
2023-04-11,107.97
2023-04-12,109.79
2023-04-13,110.26
2023-04-14,110.18
2023-04-17,110.76
2023-04-18,108.61
2023-04-19,109.73
2023-04-20,110.09
2023-04-21,109.31
2023-04-24,110.76
2023-04-25,112.77
2023-04-26,111.18
2023-04-27,110.44
2023-04-28,110.77
2023-05-01,110.97
2023-05-02,110.53
2023-05-03,109.45
2023-05-04,111.77
2023-05-05,112.93
2023-05-08,111.58
2023-05-09,110.08
2023-05-10,111.96
2023-05-11,113.06
2023-05-12,115.12
2023-05-15,116.05
2023-05-16,115.04
2023-05-17,115.34
2023-05-18,112.85
2023-05-19,112.01
2023-05-22,111.94
2023-05-23,112.53
2023-05-24,111.71
2023-05-25,111.57
2023-05-26,112.08
2023-05-29,112.5
2023-05-30,113.22
2023-05-31,113.46
2023-06-01,113.09
2023-06-02,113.98
2023-06-05,114.04
2023-06-06,113.1
2023-06-07,112.39
2023-06-08,112.39
2023-06-09,112.26
2023-06-12,112.44
2023-06-13,112.44
2023-06-14,112.64
2023-06-15,112.49
2023-06-16,111.07
2023-06-19,111.54
2023-06-20,112.71
2023-06-21,113.2
2023-06-22,112.99
2023-06-23,113.49
2023-06-26,112.4
2023-06-27,110.27
2023-06-28,110.33
2023-06-29,109.31
2023-06-30,110.11
2023-07-03,108.92
2023-07-04,106.06
2023-07-05,104.96
2023-07-06,106.61
2023-07-07,106.2
2023-07-10,104.75
2023-07-11,103.95
2023-07-12,104.49
2023-07-13,105.01
2023-07-14,105.2
2023-07-17,106.76
2023-07-18,107.51
2023-07-19,107.49
2023-07-20,108.13
2023-07-21,109.92
2023-07-24,110.99
2023-07-25,112.12
2023-07-26,110.91
2023-07-27,110.74
2023-07-28,111.55
2023-07-31,111.22
2023-08-01,112.41
2023-08-02,113.08
2023-08-03,114.11
2023-08-04,113.87
2023-08-07,116.77
2023-08-08,118.21
2023-08-09,117.96
2023-08-10,118.07
2023-08-11,121.13
2023-08-14,120.71
2023-08-15,121.77
2023-08-16,122.96
2023-08-17,122.97
2023-08-18,121.54
2023-08-21,121.76
2023-08-22,122.2
2023-08-23,123.58
